input,output
Aspartame,"{""Molecular Formula"": ""C\u2081\u2084H\u2081\u2088N\u2082O\u2085"", ""Molar Mass"": ""294.31 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""246-247 \u00b0C"", ""Water Solubility"": ""10 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.347 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""4.5-6 (0.8% solution)""}"
Benzene,"{""Molecular Formula"": ""C\u2086H\u2086"", ""Molar Mass"": ""78.11 g/mol"", ""Boiling Point"": ""80.1 \u00b0C"", ""Melting Point"": ""5.5 \u00b0C"", ""Water Solubility"": ""1.79 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""0.876 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Benzoic Acid,"{""Molecular Formula"": ""C\u2087H\u2086O\u2082"", ""Molar Mass"": ""122.12 g/mol"", ""Boiling Point"": ""249 \u00b0C"", ""Melting Point"": ""122 \u00b0C"", ""Water Solubility"": ""3.4 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.27 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.8 (saturated solution)""}"
Biphenyl and PCBs (Polychlorinated Biphenyls),"{""Molecular Formula (Biphenyl)"": ""C\u2081\u2082H\u2081\u2080"", ""Molar Mass (Biphenyl)"": ""154.21 g/mol"", ""Boiling Point (Biphenyl)"": ""255 \u00b0C"", ""Melting Point (Biphenyl)"": ""69 \u00b0C"", ""Water Solubility (Biphenyl)"": ""6.94 mg/L at 25 \u00b0C"", ""Biodegradability"": ""PCBs are not readily biodegradable; biphenyl is biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Not corrosive"", ""Density (Biphenyl)"": ""1.04 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (biphenyl)""}"
Butane,"{""Molecular Formula"": ""C\u2084H\u2081\u2080"", ""Molar Mass"": ""58.12 g/mol"", ""Boiling Point"": ""-1 \u00b0C"", ""Melting Point"": ""-138 \u00b0C"", ""Water Solubility"": ""61 mg/L at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""0.579 g/L (gas)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Butene,"{""Molecular Formula"": ""C\u2084H\u2088"", ""Molar Mass"": ""56.11 g/mol"", ""Boiling Point"": ""-6.3 \u00b0C"", ""Melting Point"": ""-185 \u00b0C"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""0.62 g/L (gas)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Butyric Acid and Fatty Acids,"{""Molecular Formula (Butyric Acid)"": ""C\u2084H\u2088O\u2082"", ""Molar Mass (Butyric Acid)"": ""88.11 g/mol"", ""Boiling Point (Butyric Acid)"": ""163.5 \u00b0C"", ""Melting Point (Butyric Acid)"": ""-5 \u00b0C"", ""Water Solubility (Butyric Acid)"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Corrosive to metals and skin"", ""Density (Butyric Acid)"": ""0.96 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""3.8 (0.1 M solution)""}"
Caffeine,"{""Molecular Formula"": ""C\u2088H\u2081\u2080N\u2084O\u2082"", ""Molar Mass"": ""194.19 g/mol"", ""Boiling Point"": ""Sublimes at 178 \u00b0C"", ""Melting Point"": ""238 \u00b0C"", ""Water Solubility"": ""2.17 g/100 mL at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.23 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6.9 (1% solution)""}"
Calcium Carbonate,"{""Molecular Formula"": ""CaCO\u2083"", ""Molar Mass"": ""100.09 g/mol"", ""Boiling Point"": ""Decomposes at 1,339 \u00b0C"", ""Melting Point"": ""825\u00b0C"", ""Water Solubility"": ""0.013 g/L at 25 \u00b0C"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""2.71 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""9.91 (saturated solution)""}"
Calcium Oxide (Lime),"{""Molecular Formula"": ""CaO"", ""Molar Mass"": ""56.08 g/mol"", ""Boiling Point"": ""2,850 \u00b0C"", ""Melting Point"": ""2,613 \u00b0C"", ""Water Solubility"": ""1.73 g/L at 20 \u00b0C"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": ""3.34 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""12.4 (saturated solution)""}"
Calcium Sulfate (Gypsum),"{""Molecular Formula"": ""CaSO\u2084"", ""Molar Mass"": ""136.14 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""1,450 \u00b0C"", ""Water Solubility"": ""0.209 g/100 mL at 25 \u00b0C"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""2.32 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""7.7 (saturated solution)""}"
Carbon Dioxide,"{""Molecular Formula"": ""CO\u2082"", ""Molar Mass"": ""44.01 g/mol"", ""Boiling Point"": ""Sublimes at -78.5 \u00b0C"", ""Melting Point"": ""Sublimes at -78.5 \u00b0C (solid phase directly to gas)"", ""Water Solubility"": ""1.45 g/L at 25 \u00b0C"", ""Biodegradability"": ""N/A (natural part of carbon cycle)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.98 kg/m\u00b3 (gas at STP)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""3.7 (saturated solution, carbonic acid)""}"
Carbon Monoxide,"{""Molecular Formula"": ""CO"", ""Molar Mass"": ""28.01 g/mol"", ""Boiling Point"": ""-191.5 \u00b0C"", ""Melting Point"": ""-205.1 \u00b0C"", ""Water Solubility"": ""2.3 g/L at 25 \u00b0C"", ""Biodegradability"": ""N/A (oxidizes to CO\u2082)"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.25 kg/m\u00b3 (gas at STP)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Chloroform,"{""Molecular Formula"": ""CHCl\u2083"", ""Molar Mass"": ""119.38 g/mol"", ""Boiling Point"": ""61.2 \u00b0C"", ""Melting Point"": ""-63.5 \u00b0C"", ""Water Solubility"": ""8.09 g/L at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.489 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Chlorophyll,"{""Molecular Formula"": ""C\u2085\u2085H\u2087\u2082MgN\u2084O\u2085 (Chlorophyll a)"", ""Molar Mass"": ""893.49 g/mol (Chlorophyll a)"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""Decomposes before melting"", ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""N/A (complex molecule)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""N/A (depends on solution and form)""}"
Cholesterol,"{""Molecular Formula"": ""C\u2082\u2087H\u2084\u2086O"", ""Molar Mass"": ""386.65 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""148-150 \u00b0C"", ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.067 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (pure form)""}"
Citric Acid,"{""Molecular Formula"": ""C\u2086H\u2088O\u2087"", ""Molar Mass"": ""192.12 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""153 \u00b0C"", ""Water Solubility"": ""59.2 g/100 mL at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Slightly corrosive"", ""Density"": ""1.66 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.2 (5% solution)""}"
Cocaine,"{""Molecular Formula"": ""C\u2081\u2087H\u2082\u2081NO\u2084"", ""Molar Mass"": ""303.35 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""98 \u00b0C"", ""Water Solubility"": ""1.8 g/L at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.22 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""N/A (depends on form)""}"
Cytosine,"{""Molecular Formula"": ""C\u2084H\u2085N\u2083O"", ""Molar Mass"": ""111.10 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""320-325 \u00b0C"", ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.32 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6-7 (depends on solution)""}"
Thymine,"{""Molecular Formula"": ""C\u2085H\u2086N\u2082O\u2082"", ""Molar Mass"": ""126.11 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""316-317 \u00b0C"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.23 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6-7 (depends on solution)""}"
Uracil,"{""Molecular Formula"": ""C\u2084H\u2084N\u2082O\u2082"", ""Molar Mass"": ""112.09 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""335 \u00b0C"", ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.32 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6-7 (depends on solution)""}"
DDT (Dichlorodiphenyltrichloroethane),"{""Molecular Formula"": ""C\u2081\u2084H\u2089Cl\u2085"", ""Molar Mass"": ""354.49 g/mol"", ""Boiling Point"": ""260 \u00b0C"", ""Melting Point"": ""108.5 \u00b0C"", ""Water Solubility"": ""0.025 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.68 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
"DEET (N,N-Diethyl-meta-toluamide)","{""Molecular Formula"": ""C\u2081\u2082H\u2081\u2087NO"", ""Molar Mass"": ""191.27 g/mol"", ""Boiling Point"": ""288 \u00b0C"", ""Melting Point"": ""-45 \u00b0C"", ""Water Solubility"": ""0.86 g/L at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Flammable""}"
Dichlorodifluoromethane (CFC-12),"{""Molecular Formula"": ""CCl\u2082F\u2082"", ""Molar Mass"": ""120.91 g/mol"", ""Boiling Point"": ""-29.8 \u00b0C"", ""Melting Point"": ""-158 \u00b0C"", ""Water Solubility"": ""0.22 g/L at 25 \u00b0C"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.486 g/cm\u00b3 (at 25 \u00b0C)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral""}"
Dopamine,"{""Molecular Formula"": ""C\u2088H\u2081\u2081NO\u2082"", ""Molar Mass"": ""153.18 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""128-130 \u00b0C"", ""Water Solubility"": ""60 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.26 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""5-6 (depends on solution)""}"
Epinephrine (Adrenaline),"{""Molecular Formula"": ""C\u2089H\u2081\u2083NO\u2083"", ""Molar Mass"": ""183.20 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""211-212 \u00b0C"", ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.28 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.5-3.5 (0.1% solution)""}"
Ethane,"{""Molecular Formula"": ""C\u2082H\u2086"", ""Molar Mass"": ""30.07 g/mol"", ""Boiling Point"": ""-88.6 \u00b0C"", ""Melting Point"": ""-182.8 \u00b0C"", ""Water Solubility"": ""60 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""1.356 kg/m\u00b3 (gas at STP)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Ethene (Ethylene),"{""Molecular Formula"": ""C\u2082H\u2084"", ""Molar Mass"": ""28.05 g/mol"", ""Boiling Point"": ""-103.7 \u00b0C"", ""Melting Point"": ""-169.2 \u00b0C"", ""Water Solubility"": ""131 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""1.178 kg/m\u00b3 (gas at STP)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Ether,"{""Molecular Formula"": ""C\u2084H\u2081\u2080O (Diethyl ether)"", ""Molar Mass"": ""74.12 g/mol"", ""Boiling Point"": ""34.6 \u00b0C"", ""Melting Point"": ""-116.3 \u00b0C"", ""Water Solubility"": ""6.9 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""0.7134 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Ethyl Alcohol (Ethanol),"{""Molecular Formula"": ""C\u2082H\u2085OH"", ""Molar Mass"": ""46.07 g/mol"", ""Boiling Point"": ""78.37 \u00b0C"", ""Melting Point"": ""-114.1 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""0.789 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Ethylenediaminetetraacetic Acid (EDTA),"{""Molecular Formula"": ""C\u2081\u2080H\u2081\u2086N\u2082O\u2088"", ""Molar Mass"": ""292.24 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""250 \u00b0C"", ""Water Solubility"": ""0.05 g/L at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""0.86 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.5 (0.1 M solution)""}"
Fluoxetine (Prozac),"{""Molecular Formula"": ""C\u2081\u2087H\u2081\u2088F\u2083NO"", ""Molar Mass"": ""309.33 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""179-182 \u00b0C"", ""Water Solubility"": ""14 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.28 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (depends on form and solution)""}"
Formaldehyde,"{""Molecular Formula"": ""CH\u2082O"", ""Molar Mass"": ""30.03 g/mol"", ""Boiling Point"": ""-19 \u00b0C (gas)"", ""Melting Point"": ""-92 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": ""0.815 g/cm\u00b3 (liquid)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.8-4 (aqueous solution)""}"
Formic Acid,"{""Molecular Formula"": ""CH\u2082O\u2082"", ""Molar Mass"": ""46.03 g/mol"", ""Boiling Point"": ""100.8 \u00b0C"", ""Melting Point"": ""8.4 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": ""1.22 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.4 (1% solution)""}"
Glucose,"{""Molecular Formula"": ""C\u2086H\u2081\u2082O\u2086"", ""Molar Mass"": ""180.16 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""146 \u00b0C"", ""Water Solubility"": ""909 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.54 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6-7 (neutral in solution)""}"
Glycerol (Glycerin),"{""Molecular Formula"": ""C\u2083H\u2088O\u2083"", ""Molar Mass"": ""92.09 g/mol"", ""Boiling Point"": ""290 \u00b0C"", ""Melting Point"": ""17.8 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.261 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""5.5-7.5 (depends on solution)""}"
Guanine,"{""Molecular Formula"": ""C\u2085H\u2085N\u2085O"", ""Molar Mass"": ""151.13 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""350 \u00b0C (decomposes)"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""2.2 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""7 (neutral in solution)""}"
Hydrochloric Acid,"{""Molecular Formula"": ""HCl"", ""Molar Mass"": ""36.46 g/mol"", ""Boiling Point"": ""-85.05 \u00b0C (gas)"", ""Melting Point"": ""-114.2 \u00b0C (gas)"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""N/A (dissociates in water)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Highly corrosive"", ""Density"": ""1.18 g/cm\u00b3 (concentrated solution)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""<1 (concentrated solution)""}"
Hydrogen Peroxide,"{""Molecular Formula"": ""H\u2082O\u2082"", ""Molar Mass"": ""34.01 g/mol"", ""Boiling Point"": ""150.2 \u00b0C"", ""Melting Point"": ""-0.43 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable (but strong oxidizer)"", ""Corrosivity"": ""Corrosive"", ""Density"": ""1.45 g/cm\u00b3 (concentrated solution)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""4.5 (30% solution)""}"
Hydrogen Sulfide,"{""Molecular Formula"": ""H\u2082S"", ""Molar Mass"": ""34.08 g/mol"", ""Boiling Point"": ""-60.2 \u00b0C"", ""Melting Point"": ""-82 \u00b0C"", ""Water Solubility"": ""4 g/L at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": ""1.539 kg/m\u00b3 (gas at STP)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""4-5 (weak acid)""}"
Ibuprofen,"{""Molecular Formula"": ""C\u2081\u2083H\u2081\u2088O\u2082"", ""Molar Mass"": ""206.29 g/mol"", ""Boiling Point"": ""157 \u00b0C (at 4 mmHg)"", ""Melting Point"": ""75-78 \u00b0C"", ""Water Solubility"": ""0.021 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.18 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""4-5 (in solution)""}"
